,Szacowane,Dokładne,błąd bezwzględny [kg],błąd względny [%]
6,14.471408,14.0,0.47,3.37
7,4.236436,4.0,0.24,5.91
9,14.478878,15.0,0.52,3.47
13,11.376055,11.0,0.38,3.42
15,4.8774376,5.0,0.12,2.45
17,9.096848,10.0,0.9,9.03
18,14.489341,15.0,0.51,3.4
20,10.500458,11.0,0.5,4.54
21,13.095441,13.0,0.1,0.73
22,2.970695,3.0,0.03,0.98
25,12.3254,13.0,0.67,5.19
26,10.407623,10.0,0.41,4.08
28,13.305281,14.0,0.69,4.96
29,1.0930026,1.0,0.09,9.3
32,1.062837,1.0,0.06,6.28
33,14.241043,15.0,0.76,5.06
37,1.9279951,2.0,0.07,3.6
38,10.076904,10.0,0.08,0.77
